Difficulte;Questions;Reponses
1;Tu te (laver);laves
1;Vous (manger) des saucisses;mangez
1;Tu (aimer) les coquelicots;aimes
1;Elles (rigoler) avec leurs copines;rigolent
1;Il (être) content;est
1;Ils (avoir) beaucoup d'amis;ont
1;Dans le ciel les (animal) volent;oiseaux
1;Des fourmis (porter) des miettes de pain;portent
1;Jeremy aime beaucoup (courrir);courrir
1;Il y a beaucoup de (pomme pluriel) par terre;pommes
1;Le chien (rogner) son os;rogne
1;La (cole colle col) sêche vite;colle
1;Une araignée (tisser) sa toile;tisse
1;Ces éléphants (être) énormes !;sont
1;Les (oiseaux, poissons, vaches) sont de grands nageurs;poissons
1;Que boit la vache ? (lait, eau, jus de pomme);eau
1;Quel son fait la grenouille ? Elle (coasse, croasse, crapote);coasse
2;Nous (aller futur) au parc d'attraction vendredi;irons
2;Ces personnes sont (habituer) à faire du sport;habituées
2;Les chats sont (doux, doue, dout);doux
2;Pierre et Alexandre sont (jumaut, jumeaus, jumeaux);jumeaux
2;Regarde (ce, ceux, se) nuages !;ce
2;J'ai beaucoup de stylos dans ma (trousses, trouse, trousse);trousse
2;Nous (mangeons, mangons, mangeont) tous ensemble;mangeons
2;(cette, cet, cete) oiseau vole dans le ciel;cet
2;Blanche neige est accompagnée de (cet, cette, sept) nains;sept
2;Mes (genous, genou, genoux) sont tout rouge.;genoux
2;(sa, ça, sas) grand-mère est gentille;sa
2;Nous nous (hydrater furur) plus tard;hydraterons
2;Théo (avoir perdre, passé composé) son match de football;a perdu
2;Son téléphone (être tomber) par terre;est tombé
2;Les usines rejettent de la (fumé, fumée, fumét);fumée
2;Une (araigné, araignai, araignée) tisse sa toile;araignée
3;(cet, cette, cete) pomme roule par terre;cette
3;(quel quelle, qu'elle, qu'el) arbre gigantesque !;quel
3;Vous (avoir, manger, passé composé) beaucoup de tomates hier;avez mangé
3;Elles (être, devenir, passé composé) de vraie copines;sont devenues
3;David (met, mais, maies) ses chaussures;met
3;Parmis ces mots quel est celui qui n'est une conjonction de coordination ? (mais, de, ni);de
3;Parmis ces mots quel est celui qui n'est une conjonction de coordination ? (et, or, sur);sur
3;Cet artiste (avoir peindre, passé composé) cette toile en 1870;a peint
3;Vous (obéir présent) aux règles du jeu;obeissez
3;Ces chevaliers (vouloir passé simple) protéger la princesse;voulurent
3;Jonathan (decider passé simple) d'aller à la pêche;décida
3;Les fées (être passé simple) heureuses jusqu'à la fin des temps;furent
3;Le chat se déplace (en silence) dans la maison;silencieusement
3;Le tonerre à frappé (avec violence) un arbre;violemment
3;Jasmine à offert un cadeau au laitier avec (façon d'être gentil);gentillesse
3;Il a réussi tout les exercices (avec facilité);facilement